InputSpec,StartTime,EndTime,ElapsedTime 
HadoopWordPairs/AA-AA,04/04/2025  1:46:05.99, 1:46:12.35,6.936 
HadoopWordPairs/AA-AA,04/04/2025  1:50:04.65, 1:50:10.78,6.013 
HadoopWordPairs/AA-AB,04/04/2025  1:52:07.86, 1:52:16.07,8.921 
HadoopWordPairs/AA-AC,04/04/2025  1:54:59.57, 1:55:10.99,11.042 
