InputSpec,StartTime,EndTime,ElapsedTime 
HadoopWordPairs/AA-AA,03/04/2025  9:23:37.41, 9:23:52.31,14.990 
HadoopWordPairs/AA-AB,03/04/2025  9:25:45.89, 9:26:09.98,24.009 
