InputSpec,StartTime,EndTime,ElapsedTime 
HadoopWordPairs/AA-AA,03/04/2025  9:23:52.32, 9:23:59.33,7.001 
HadoopWordPairs/AA-AB,03/04/2025  9:26:10.01, 9:26:19.14,9.013 
