InputDirs,StartTime,EndTime,ElapsedTime 
AA,03/04/2025  9:23:07.11, 9:23:37.38,30.027 
AA,AB,03/04/2025  9:24:47.25, 9:25:45.87,58.062 
AA,03/04/2025  9:40:01.58, 9:40:31.53,29.995 
AA,AB,03/04/2025  9:41:37.33, 9:42:32.42,55.009 
