InputSpec,StartTime,EndTime,ElapsedTime 
HadoopWordCount/AA-AA,03/04/2025  9:22:58.21, 9:23:03.01,4.980 
HadoopWordCount/AA-AB,03/04/2025  9:24:38.06, 9:24:43.17,5.011 
HadoopWordCount/AA-AA,03/04/2025  9:39:54.81, 9:39:58.23,3.942 
HadoopWordCount/AA-AB,03/04/2025  9:41:29.52, 9:41:33.92,4.040 
