JobName,JobType,InputSpec,StartTime,EndTime,ElapsedTime
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AD,2025-04-03 18:15:44.376552016,2025-04-03 18:15:48.985890841,4.609
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AE,2025-04-03 18:17:09.003876470,2025-04-03 18:17:14.590575218,5.587
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AF,2025-04-03 18:18:40.921490239,2025-04-03 18:18:45.957930964,5.036
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AG,2025-04-03 18:20:24.744548223,2025-04-03 18:20:29.923617202,5.179
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AH,2025-04-03 18:22:23.401288700,2025-04-03 18:22:28.906931587,5.506
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AI,2025-04-03 18:24:36.135310068,2025-04-03 18:24:42.462476025,6.327
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AJ,2025-04-03 18:27:05.188954497,2025-04-03 18:27:12.433821493,7.247
WordNumberPairsTop,Dependent,SparkWordPairs/AA-AK,2025-04-03 18:29:43.987493145,2025-04-03 18:29:50.843348515,6.856
WordPairsFilter,Dependent,SparkWordPairs/AA-AA,2025-04-03 18:12:49.380913609,2025-04-03 18:12:55.184982075,5.804
WordPairsFilter,Dependent,SparkWordPairs/AA-AB,2025-04-03 18:13:27.488820945,2025-04-03 18:13:36.162690519,8.674
WordPairsFilter,Dependent,SparkWordPairs/AA-AC,2025-04-03 18:14:23.512257252,2025-04-03 18:14:34.792878329,11.281
WordPairsFilter,Dependent,SparkWordPairs/AA-AD,2025-04-03 18:15:30.720282642,2025-04-03 18:15:44.370127474,13.650
WordPairsFilter,Dependent,SparkWordPairs/AA-AE,2025-04-03 18:16:53.738032595,2025-04-03 18:17:08.997284853,15.259
WordPairsFilter,Dependent,SparkWordPairs/AA-AF,2025-04-03 18:18:23.753971793,2025-04-03 18:18:40.915654468,17.162
WordPairsFilter,Dependent,SparkWordPairs/AA-AG,2025-04-03 18:20:05.489878713,2025-04-03 18:20:24.738910569,19.249
WordPairsFilter,Dependent,SparkWordPairs/AA-AH,2025-04-03 18:22:01.718495764,2025-04-03 18:22:23.396204617,21.678
WordPairsFilter,Dependent,SparkWordPairs/AA-AI,2025-04-03 18:24:13.252992721,2025-04-03 18:24:36.130122418,22.877
WordPairsFilter,Dependent,SparkWordPairs/AA-AJ,2025-04-03 18:26:40.232676520,2025-04-03 18:27:05.183868664,24.951
WordPairsFilter,Dependent,SparkWordPairs/AA-AK,2025-04-03 18:29:18.652786583,2025-04-03 18:29:43.982007208,25.330
