InputSpec,StartTime,EndTime,ElapsedTime 
SparkWordPairs/AA-AA,04/04/2025  1:45:32.46, 1:45:41.25,8.979 
SparkWordPairs/AA-AB,04/04/2025  1:47:15.81, 1:47:29.18,13.937 
SparkWordPairs/AA-AC,04/04/2025  1:49:41.59, 1:49:56.28,14.970 
