InputSpec,StartTime,EndTime,ElapsedTime 
SparkWordCount/AA-AA,04/04/2025  1:44:58.09, 1:45:04.19,6.010 
SparkWordCount/AA-AB,04/04/2025  1:46:20.08, 1:46:26.39,6.031 
SparkWordCount/AA-AC,04/04/2025  1:48:24.00, 1:48:29.92,5.092 
