InputDirs,StartTime,EndTime,ElapsedTime 
AA,04/04/2025  1:45:10.21, 1:45:32.44,22.023 
AA,AB,04/04/2025  1:46:32.90, 1:47:15.79,42.989 
AA,AB,AC,04/04/2025  1:48:36.39, 1:49:41.57,65.017 
