InputSpec,StartTime,EndTime,ElapsedTime 
SparkWordCount/AA-AA,04/04/2025  1:45:04.21, 1:45:10.21,6.000 
SparkWordCount/AA-AB,04/04/2025  1:46:26.44, 1:46:32.88,6.044 
SparkWordCount/AA-AC,04/04/2025  1:48:29.93, 1:48:36.39,6.945 
